"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1302925","DRIVER","629885251a086944d5f23976fca0ee466f534f2ec60e3015d461f9a74d7840ad5d319e3f91c259eaea7c2c09ae01f2b1edc734febb3a198d76dab567c3a7bbeb",,"1237346","2022-03-21T21:09:00.000",,"TINLEY PARK","IL","60477","M","31","IL","D","HELMET NOT USED","DEPLOYMENT UNKNOWN","UNKNOWN","INCAPACITATING INJURY","ILLINOIS MASONIC","CFD",,"UNKNOWN","UNKNOWN","REMOVED BY EMS",,,,"TEST NOT OFFERED",,
"P290030","PASSENGER","629885251a086944d5f23976fca0ee466f534f2ec60e3015d461f9a74d7840ad5d319e3f91c259eaea7c2c09ae01f2b1edc734febb3a198d76dab567c3a7bbeb",,"1237344","2022-03-21T21:09:00.000","3",,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1302928","DRIVER","4bacf2b66e409465a57989d936dcb319296544777b456450acffa6997c0a1d93d19444713aea670eb70898d6fa6b745e07ecb1b5d639d72b4a83fa3a7d71b708",,"1237347","2022-03-21T21:00:00.000",,"LISLE","IL","60532","M","42","IL","B","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290031","PASSENGER","4bacf2b66e409465a57989d936dcb319296544777b456450acffa6997c0a1d93d19444713aea670eb70898d6fa6b745e07ecb1b5d639d72b4a83fa3a7d71b708",,"1237347","2022-03-21T21:00:00.000","3","CHICAGO","IL","60634","F","35",,,"NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303144","DRIVER","b3a19cadfe8d55d628ca7fa88e77215db0c23ea26f6ef6560106dfe3dcf1baee34721b9da4f83af4b918db9eebc5813cfe8383e37fdaa196ed4aa4ccf5a4e679",,"1237564","2022-03-21T21:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303145","DRIVER","b3a19cadfe8d55d628ca7fa88e77215db0c23ea26f6ef6560106dfe3dcf1baee34721b9da4f83af4b918db9eebc5813cfe8383e37fdaa196ed4aa4ccf5a4e679",,"1237569","2022-03-21T21:00:00.000",,"NORTH RIVERSIDE","IL","60546","M","45","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302915","DRIVER","fa1662e4f56c203c0bb51eaf42db2fd6c101a4bddc8712b7480aaa22e7908b156b6dee196d471502633baf1acc041d4d12a2e751b6630ea65c755eb311238fce",,"1237334","2022-03-21T20:58:00.000",,"CHICAGO","IL","60623","M","54","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","REFUSED","REFUSED",,"IMPROPER BACKING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302901","DRIVER","c5d6fa6acdb6d0359a06168fa9275eda8265c1f8caed2f7f2696799fa986623a270c7cb8ba59f71d333d276707f19377bd8b65154c28475151b8832d39aa0369",,"1237321","2022-03-21T20:55:00.000",,"CHICAGO","IL","60632","M","32","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","EMS REFUSED",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1302902","DRIVER","c5d6fa6acdb6d0359a06168fa9275eda8265c1f8caed2f7f2696799fa986623a270c7cb8ba59f71d333d276707f19377bd8b65154c28475151b8832d39aa0369",,"1237323","2022-03-21T20:55:00.000",,"RIVER GROVE","IL","60171","M","73","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","EMS REFUSED",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1302905","DRIVER","f70ce9f50ab3e1cedec8d3db662d7f7597ddf30556439c23c77c4e77403739b8d7052c188a5cb3555932ae37e6c6a933cbe7cb93e3cc728faeef6778e7fac5c1",,"1237329","2022-03-21T20:50:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302906","DRIVER","f70ce9f50ab3e1cedec8d3db662d7f7597ddf30556439c23c77c4e77403739b8d7052c188a5cb3555932ae37e6c6a933cbe7cb93e3cc728faeef6778e7fac5c1",,"1237336","2022-03-21T20:50:00.000",,"CHICAGO","IL","60615","M","20","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1302911","PEDESTRIAN","61130d53ffdc698adb039b978d9fbd9666add080bcfcadaf3f1597fc5edf7a4f7ee425c3fa46dc779464a45133a161fceaf738e01f082280fdaf2eeca13b52ab",,,"2022-03-21T20:48:00.000",,,,,"F","28",,,"USAGE UNKNOWN",,,"INCAPACITATING INJURY","WEST SUBURBAN HOSPITAL","67",,"UNKNOWN","UNKNOWN","IMPAIRED - ALCOHOL","OTHER ACTION","NO CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"O1302912","DRIVER","61130d53ffdc698adb039b978d9fbd9666add080bcfcadaf3f1597fc5edf7a4f7ee425c3fa46dc779464a45133a161fceaf738e01f082280fdaf2eeca13b52ab",,"1237330","2022-03-21T20:48:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302897","DRIVER","639ccde5762afb2b54e3e42ad8c3d1a06f9492ae6ee3c3ad977387dcbdd62bc66c72b4a7615d82e9c3c07741e68276097b34a78378baebc0b8deb969646ad937",,"1237322","2022-03-21T20:30:00.000",,"CHICAGO","IL","60632","F","34","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"OVERCORRECTED","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290020","PASSENGER","639ccde5762afb2b54e3e42ad8c3d1a06f9492ae6ee3c3ad977387dcbdd62bc66c72b4a7615d82e9c3c07741e68276097b34a78378baebc0b8deb969646ad937",,"1237322","2022-03-21T20:30:00.000","3","CHICAGO","IL","60616","M","31",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,,,,,,,,,
"O1302899","DRIVER","673a071ccb9eabab547e07408df2b46cbc16d0cb3beca27fb4d0c26ffb78edaf5e2ccdb3a7876c392a597f2881ab99d78c29bd01673f31e4295b984e73c828e6",,"1237342","2022-03-21T20:24:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302900","DRIVER","673a071ccb9eabab547e07408df2b46cbc16d0cb3beca27fb4d0c26ffb78edaf5e2ccdb3a7876c392a597f2881ab99d78c29bd01673f31e4295b984e73c828e6",,"1237345","2022-03-21T20:24:00.000",,"CHICAGO","IL",,"M","16",,,"SAFETY BELT USED","DEPLOYED, FRONT","NONE","NONINCAPACITATING INJURY","CHRIST",,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302926","DRIVER","f505a84a091590b84ffecda63e0a2c34b7881b45ff10043a56dec1a9fe630b0e1a649223d5c458e30ee6da45c46f9ca7b14a4a1ac26bcf28ed097f62f26500bb",,"1237349","2022-03-21T20:19:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PARKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303232","DRIVER","55817956385aa6e01b27bcc8f58270e7fac1a2b8c9914f917d54317474cbdf780fcdbdb2a76a7186d21adab937229d8afefb070613ed305f9f868b9dd1d90baa",,"1237641","2022-03-21T20:14:00.000",,"CHICAGO","IL","60629","F","40","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303233","DRIVER","55817956385aa6e01b27bcc8f58270e7fac1a2b8c9914f917d54317474cbdf780fcdbdb2a76a7186d21adab937229d8afefb070613ed305f9f868b9dd1d90baa",,"1237642","2022-03-21T20:14:00.000",,"CHICAGO","IL","60652","M","48","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290078","PASSENGER","55817956385aa6e01b27bcc8f58270e7fac1a2b8c9914f917d54317474cbdf780fcdbdb2a76a7186d21adab937229d8afefb070613ed305f9f868b9dd1d90baa",,"1237642","2022-03-21T20:14:00.000","3","CHICAGO","IL","60652","M","19",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290079","PASSENGER","55817956385aa6e01b27bcc8f58270e7fac1a2b8c9914f917d54317474cbdf780fcdbdb2a76a7186d21adab937229d8afefb070613ed305f9f868b9dd1d90baa",,"1237642","2022-03-21T20:14:00.000","4","CHICAGO","IL","60652","M","13",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290080","PASSENGER","55817956385aa6e01b27bcc8f58270e7fac1a2b8c9914f917d54317474cbdf780fcdbdb2a76a7186d21adab937229d8afefb070613ed305f9f868b9dd1d90baa",,"1237642","2022-03-21T20:14:00.000","6","CHICAGO","IL","60652","F","18",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1302919","DRIVER","9c63e9a61aff42b8ac62fb7bce2d8767ec02980fbc7b79c87fb8040d87f4fc47842cbe307c0e7502f1b0359cdd4daf991483c3f40b328c4d1db4ac0696939aef",,"1237348","2022-03-21T20:10:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302920","DRIVER","9c63e9a61aff42b8ac62fb7bce2d8767ec02980fbc7b79c87fb8040d87f4fc47842cbe307c0e7502f1b0359cdd4daf991483c3f40b328c4d1db4ac0696939aef",,"1237351","2022-03-21T20:10:00.000",,"CHICAGO","IL",,"M",,"IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302913","DRIVER","bcde2ed9495e8f1bf6c52c5c978302ab4158d910949ccce0436682de4032d2919ff9058c28bb085f610836979845b70bbc5ad80b9c740e876ae613e61ab672a6",,"1237333","2022-03-21T19:57:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302914","DRIVER","bcde2ed9495e8f1bf6c52c5c978302ab4158d910949ccce0436682de4032d2919ff9058c28bb085f610836979845b70bbc5ad80b9c740e876ae613e61ab672a6",,"1237339","2022-03-21T19:57:00.000",,"CHICAGO","IL","60621","F","18","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","REPORTED, NOT EVIDENT","ST BENARDS","35",,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290026","PASSENGER","bcde2ed9495e8f1bf6c52c5c978302ab4158d910949ccce0436682de4032d2919ff9058c28bb085f610836979845b70bbc5ad80b9c740e876ae613e61ab672a6",,"1237339","2022-03-21T19:57:00.000","10",,,,"M","20",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","REPORTED, NOT EVIDENT","ST BENARDS","CFD","35",,,,,,,,,
"P290027","PASSENGER","bcde2ed9495e8f1bf6c52c5c978302ab4158d910949ccce0436682de4032d2919ff9058c28bb085f610836979845b70bbc5ad80b9c740e876ae613e61ab672a6",,"1237339","2022-03-21T19:57:00.000","3","CHICAGO","IL","60609","F","19",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","REPORTED, NOT EVIDENT","ST BENARDS","CFD","35",,,,,,,,,
"O1303095","DRIVER","9685603c2426211f8671097d9e1c74853c83b1166693a5b55f3442b8ee5959e1319a3a3461ff3c0a068fd8da65b934a9d40b555c55bdf379ba4f8ed65e71c347",,"1237513","2022-03-21T19:55:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303096","DRIVER","9685603c2426211f8671097d9e1c74853c83b1166693a5b55f3442b8ee5959e1319a3a3461ff3c0a068fd8da65b934a9d40b555c55bdf379ba4f8ed65e71c347",,"1237517","2022-03-21T19:55:00.000",,"CHICAGO","IL","60645","M","46","IL","D","SAFETY BELT USED","NOT APPLICABLE","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302890","DRIVER","89353422224ce5f24e2c54ec7179cee2a59f18fbcbc488a1218f9ea3043cf204c2354cf45ffcd557c1c5fa41796e738d1ee2c38519a4d663f6fd905c71d01e8b",,"1237315","2022-03-21T19:52:00.000",,"CHICAGO","IL","60647","F","22","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303475","DRIVER","4331f11978aa1e0b3e82ed293da7b47aea0ac62a21bbc262ab12de1947f16453088f52562ef948842827931ed5af950ca7ca3f165bcee7c13309c4d0266eba5f",,"1237884","2022-03-21T19:50:00.000",,"CHICAGO","IL","60653","M","18",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","TRAPPED/EXTRICATED","FATAL","UNIVERSITY OF CHICAGO","55",,"IMPROPER PASSING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303476","DRIVER","4331f11978aa1e0b3e82ed293da7b47aea0ac62a21bbc262ab12de1947f16453088f52562ef948842827931ed5af950ca7ca3f165bcee7c13309c4d0266eba5f",,"1237885","2022-03-21T19:50:00.000",,,,,"M",,,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290150","PASSENGER","4331f11978aa1e0b3e82ed293da7b47aea0ac62a21bbc262ab12de1947f16453088f52562ef948842827931ed5af950ca7ca3f165bcee7c13309c4d0266eba5f",,"1237884","2022-03-21T19:50:00.000","3","CHICAGO","IL",,"F","20",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","FATAL","UNIVERSITY OF CHICAGO","CFD","38",,,,,,,,,
"P290151","PASSENGER","4331f11978aa1e0b3e82ed293da7b47aea0ac62a21bbc262ab12de1947f16453088f52562ef948842827931ed5af950ca7ca3f165bcee7c13309c4d0266eba5f",,"1237884","2022-03-21T19:50:00.000","4",,"IL",,"M","18",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NONINCAPACITATING INJURY","UNIVERISTY OF CHICAGO","CFD",,,,,,,,,,
"P290152","PASSENGER","4331f11978aa1e0b3e82ed293da7b47aea0ac62a21bbc262ab12de1947f16453088f52562ef948842827931ed5af950ca7ca3f165bcee7c13309c4d0266eba5f",,"1237884","2022-03-21T19:50:00.000","6",,"IL",,"M","21",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NONINCAPACITATING INJURY","UNIVERSITY OF CHICAGO","CFD",,,,,,,,,,
"O1302871","DRIVER","7ce1e63882e5efa19ca912654fc0c6e3b9a1a0914bc7ec2a82b99ead33c2e0b8e6ed9360ff212d68346520d461492a3f20080bf6d790c5ad65d0a53800dbd108",,"1237296","2022-03-21T19:41:00.000",,"CHICAGO","IL","60647","M","43","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302872","DRIVER","7ce1e63882e5efa19ca912654fc0c6e3b9a1a0914bc7ec2a82b99ead33c2e0b8e6ed9360ff212d68346520d461492a3f20080bf6d790c5ad65d0a53800dbd108",,"1237305","2022-03-21T19:41:00.000",,"HILLSIDE","IL","60162","F","23","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302873","DRIVER","7ce1e63882e5efa19ca912654fc0c6e3b9a1a0914bc7ec2a82b99ead33c2e0b8e6ed9360ff212d68346520d461492a3f20080bf6d790c5ad65d0a53800dbd108",,"1237308","2022-03-21T19:41:00.000",,"OAK PARK","IL","60302","M","32","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302876","DRIVER","ba6cca939ffb3553ac815bc94513a23fb0bf83da060431ee8e55e4a1f9c9bb6c116c9ebb6411b7e1840a5bf0f5766578ed9a098021e22d52bae10b352408c4fd",,"1237300","2022-03-21T19:40:00.000",,"CHICAGO","IL","60620","M","75","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P290014","PASSENGER","ba6cca939ffb3553ac815bc94513a23fb0bf83da060431ee8e55e4a1f9c9bb6c116c9ebb6411b7e1840a5bf0f5766578ed9a098021e22d52bae10b352408c4fd",,"1237300","2022-03-21T19:40:00.000","3","CHICAGO","IL","60620","M","43",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290015","PASSENGER","ba6cca939ffb3553ac815bc94513a23fb0bf83da060431ee8e55e4a1f9c9bb6c116c9ebb6411b7e1840a5bf0f5766578ed9a098021e22d52bae10b352408c4fd",,"1237309","2022-03-21T19:40:00.000","3",,"IL",,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290016","PASSENGER","ba6cca939ffb3553ac815bc94513a23fb0bf83da060431ee8e55e4a1f9c9bb6c116c9ebb6411b7e1840a5bf0f5766578ed9a098021e22d52bae10b352408c4fd",,"1237309","2022-03-21T19:40:00.000","4",,"IL",,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290018","PASSENGER","ba6cca939ffb3553ac815bc94513a23fb0bf83da060431ee8e55e4a1f9c9bb6c116c9ebb6411b7e1840a5bf0f5766578ed9a098021e22d52bae10b352408c4fd",,"1237309","2022-03-21T19:40:00.000","1",,,,,,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1302887","DRIVER","39561b59ee396843f06b50c769fd6fef6ae5f2e536012bb50124ea852a3dc1257582cd00cec0ce7b50174f2266eb1c1c5ae7251c2179314d62ba758289e18e1e",,"1237307","2022-03-21T19:30:00.000",,"TROY","MI","48083","M","61","MI","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302888","DRIVER","39561b59ee396843f06b50c769fd6fef6ae5f2e536012bb50124ea852a3dc1257582cd00cec0ce7b50174f2266eb1c1c5ae7251c2179314d62ba758289e18e1e",,"1237317","2022-03-21T19:30:00.000",,"CHICAGO","IL","60634","M","40","IL","DM","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302953","DRIVER","7c1225e259547a862c3314107680d53062bda790752a0a0370ef66d284eed3e9d01094a9e57d494b99a09a5101a8c3cb590cf27fae29502b3ca854fda15cf4fb",,"1237369","2022-03-21T19:30:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302903","DRIVER","a66df9531501204a6d75fbab54fe2f2a3434c7dc6c9dd3ffe387d66efe3613b2b7d1cf16b44bc493abbd383be119eac1ac73a640ea8a4beb658832652951f28b",,"1237327","2022-03-21T19:30:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302904","DRIVER","a66df9531501204a6d75fbab54fe2f2a3434c7dc6c9dd3ffe387d66efe3613b2b7d1cf16b44bc493abbd383be119eac1ac73a640ea8a4beb658832652951f28b",,"1237328","2022-03-21T19:30:00.000",,"CHICAGO","IL","60629","M","32","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302854","DRIVER","a3df163f0a023c1c1844331e09445f2ecd8ab8f6c27f9900134c3399507b137986b03a4ac371b869c4ee7486841848ea33fd276db1aa92db6290c21e37511172",,"1237280","2022-03-21T19:20:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302803","DRIVER","200bc7f041cb8198a2dd23e85b461bddf8b4ab2c1c398f8ebc81d0fa5b1ef1fa8120a06704ef5dafb0a7e19be718afa02bebf6bb8dae2e6605a48fe23d5f8f45",,"1237218","2022-03-21T19:10:00.000",,,,,"X",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302839","DRIVER","ddc6398b8573d27e79b99c7c418aa489598c253a39f9bf8befb6954a234397c29a99814c208a9d23de6ded8236038ebf69f05271d8088ac54a08b6013745d142",,"1237257","2022-03-21T19:04:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302840","DRIVER","ddc6398b8573d27e79b99c7c418aa489598c253a39f9bf8befb6954a234397c29a99814c208a9d23de6ded8236038ebf69f05271d8088ac54a08b6013745d142",,"1237261","2022-03-21T19:04:00.000",,"CHICAGO","IL","60629","M","29","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290010","PASSENGER","ddc6398b8573d27e79b99c7c418aa489598c253a39f9bf8befb6954a234397c29a99814c208a9d23de6ded8236038ebf69f05271d8088ac54a08b6013745d142",,"1237261","2022-03-21T19:04:00.000","3",,,,"F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303208","DRIVER","b0659a5a6c466c30ccf65eb3a15a558174bb19144b92662b431288166d498ac45c38074a50ebfdabc2dd15ea9e0647437c9db38496469317b1f684ba7fb6a110",,"1237613","2022-03-21T19:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302862","DRIVER","d93573800537cc1be49a4bff70c0a5a9f937aa235c312a8dd36a65c815ec4939c53e62b4155a520d83fad52ce79dced4f7057755e0d3538a2f776d7d5279c9f8",,"1237291","2022-03-21T19:00:00.000",,"CHICAGO","IL","60616","F","28","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302863","DRIVER","d93573800537cc1be49a4bff70c0a5a9f937aa235c312a8dd36a65c815ec4939c53e62b4155a520d83fad52ce79dced4f7057755e0d3538a2f776d7d5279c9f8",,"1237594","2022-03-21T19:00:00.000",,"CHICAGO","IL","60632","M","19","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302856","DRIVER","5f486a148664cf8480bb12d139767939e75f86721b0b8f6dd64d2757bc46c6b47032d447282081d9b68dd5ada19e5f09cc84c89c48ddfa318f63d24db7f50297",,"1237277","2022-03-21T18:48:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1302835","DRIVER","74dad3a204c305fd3ebc330c2c7dd58dafe6b1716ac54479b1259f0dc803fa6abf52d776d32bfe5fa7ad805898ecbcfbb7b3a555ab653f2f51415c2610111dd7",,"1237256","2022-03-21T18:43:00.000",,"CHCIAGO","IL","60632","M","58","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PASSING","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1302933","DRIVER","3217fcb92074e6ae6419becbc1bb85d65a99609a61576ec601cafa10ed59a96cc19e2bc822ce6e584bc365f8d8dc731b8194db7865daef16833bd124ce8e685e",,"1237354","2022-03-21T18:40:00.000",,"CHICAGO","IL","60629","M","60","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1302934","DRIVER","3217fcb92074e6ae6419becbc1bb85d65a99609a61576ec601cafa10ed59a96cc19e2bc822ce6e584bc365f8d8dc731b8194db7865daef16833bd124ce8e685e",,"1237359","2022-03-21T18:40:00.000",,"BERWYN","IL","60402","M","55","IL","D","USAGE UNKNOWN","DEPLOYED, SIDE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
